,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.,EC Voorr Sen.,Dr.In-Min,Dr.In-Gem,Dr.In-Max,Dr.Uit-Min,Dr.Uit-Gem,Dr.Uit-Max,D. Pres - Min,D. Pres - Gem,D. Pres - Max
8530,95,2019-12-07 00:10:00,00:10,,,7,,5,35,35,36,32,33,33,,,
8531,94,2019-12-07 00:20:00,00:20,,,7,,5,35,35,36,32,33,33,,,
8532,93,2019-12-07 00:30:00,00:30,,,6,,5,35,35,36,32,33,33,,,
8533,92,2019-12-07 00:40:00,00:40,,,7,,5,35,35,36,32,33,33,,,
8534,91,2019-12-07 00:50:00,00:50,,,7,,5,35,35,36,32,33,33,,,
8535,90,2019-12-07 01:00:00,01:00,,,7,,5,35,35,36,32,33,33,,,
8536,89,2019-12-07 01:10:00,01:10,,,7,,5,35,35,36,32,33,33,,,
8537,88,2019-12-07 01:20:00,01:20,,,6,,5,35,35,36,32,33,33,,,
8538,87,2019-12-07 01:30:00,01:30,,,7,,5,13,25,36,12,23,33,,,
8539,86,2019-12-07 01:40:00,01:40,,,7,,5,13,13,14,11,12,12,,,
8540,85,2019-12-07 01:50:00,01:50,,,7,,5,13,13,14,11,11,12,,,
8541,84,2019-12-07 02:00:00,02:00,,,7,,5,13,13,14,11,11,12,,,
8542,83,2019-12-07 02:10:00,02:10,,,7,,5,13,14,14,10,10,11,,,
8543,82,2019-12-07 02:20:00,02:20,,,7,,5,13,14,14,9,10,10,,,
8544,81,2019-12-07 02:30:00,02:30,,,7,,5,12,14,16,9,11,16,,,
8545,80,2019-12-07 02:40:00,02:40,,,7,,5,13,26,37,12,23,35,,,
8546,79,2019-12-07 02:50:00,02:50,,,7,,5,31,35,38,31,35,39,,,
8547,78,2019-12-07 03:00:00,03:00,,,7,,5,34,35,35,34,35,35,,,
8548,77,2019-12-07 03:10:00,03:10,,,7,,5,35,35,35,35,35,35,,,
8549,76,2019-12-07 03:20:00,03:20,,,7,,5,35,35,36,35,35,36,,,
8550,75,2019-12-07 03:30:00,03:30,,,6,,5,35,35,35,35,35,36,,,
8551,74,2019-12-07 03:40:00,03:40,,,7,,5,35,35,36,35,35,36,,,
8552,73,2019-12-07 03:50:00,03:50,,,6,,5,35,35,35,35,35,36,,,
8553,72,2019-12-07 04:00:00,04:00,,,6,,5,35,35,36,35,35,36,,,
8554,71,2019-12-07 04:10:00,04:10,,,6,,5,35,35,36,35,35,36,,,
8555,70,2019-12-07 04:20:00,04:20,,,7,,5,13,18,36,13,18,36,,,
8556,69,2019-12-07 04:30:00,04:30,,,7,,5,13,13,14,13,13,13,,,
8557,68,2019-12-07 04:40:00,04:40,,,7,,5,13,13,14,13,13,13,,,
8558,67,2019-12-07 04:50:00,04:50,,,7,,5,13,13,13,13,13,13,,,
8559,66,2019-12-07 05:00:00,05:00,,,7,,5,13,13,13,12,13,13,,,
8560,65,2019-12-07 05:10:00,05:10,,,7,,5,13,13,13,12,12,13,,,
8561,64,2019-12-07 05:20:00,05:20,,,7,,5,13,13,13,12,12,12,,,
8562,63,2019-12-07 05:30:00,05:30,,,7,,5,13,31,35,12,29,34,,,
