,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.,EC Voorr Sen.,Dr.In-Min,Dr.In-Gem,Dr.In-Max,Dr.Uit-Min,Dr.Uit-Gem,Dr.Uit-Max,D. Pres - Min,D. Pres - Gem,D. Pres - Max
1652,149,2020-09-26 14:10:00,14:10,,,6,,5,0,0,0,0,0,0,,,
1653,148,2020-09-26 14:20:00,14:20,,,6,,5,0,0,0,0,0,0,,,
1654,147,2020-09-26 14:30:00,14:30,,,6,,5,0,0,0,0,0,0,,,
1655,146,2020-09-26 14:40:00,14:40,,,6,,5,0,0,0,0,0,0,,,
1656,145,2020-09-26 14:50:00,14:50,,,6,,5,0,0,0,0,0,0,,,
1657,144,2020-09-26 15:00:00,15:00,,,6,,5,0,0,0,0,0,0,,,
1658,143,2020-09-26 15:10:00,15:10,,,6,,5,0,0,0,0,0,0,,,
1659,142,2020-09-26 15:20:00,15:20,,,6,,5,0,0,0,0,0,0,,,
1660,141,2020-09-26 15:30:00,15:30,,,6,,5,0,0,0,0,0,0,,,
1661,140,2020-09-26 15:40:00,15:40,,,6,,5,0,0,0,0,0,0,,,
1662,139,2020-09-26 15:50:00,15:50,,,6,,5,0,0,0,0,0,0,,,
1663,138,2020-09-26 16:00:00,16:00,,,6,,5,0,0,0,0,0,0,,,
1664,137,2020-09-26 16:10:00,16:10,,,6,,5,0,0,0,0,0,0,,,
1665,136,2020-09-26 16:20:00,16:20,,,6,,5,0,0,0,0,0,0,,,
1666,135,2020-09-26 16:30:00,16:30,,,6,,5,0,0,0,0,0,0,,,
1667,134,2020-09-26 16:40:00,16:40,,,6,,5,0,0,0,0,0,0,,,
1668,133,2020-09-26 16:50:00,16:50,,,6,,5,0,0,0,0,0,0,,,
1669,132,2020-09-26 17:00:00,17:00,,,6,,5,0,0,0,0,0,0,,,
1670,131,2020-09-26 17:10:00,17:10,,,6,,4,0,0,0,0,0,0,,,
1671,130,2020-09-26 17:20:00,17:20,,,6,,4,0,0,0,0,0,0,,,
1672,129,2020-09-26 17:30:00,17:30,,,6,,4,0,0,0,0,0,0,,,
1673,128,2020-09-26 17:40:00,17:40,,,6,,4,0,0,0,0,0,0,,,
1674,127,2020-09-26 17:50:00,17:50,,,6,,4,0,0,0,0,0,0,,,
1675,126,2020-09-26 18:00:00,18:00,,,6,,4,0,0,0,0,0,0,,,
1676,125,2020-09-26 18:10:00,18:10,,,6,,4,0,0,0,0,0,0,,,
1677,124,2020-09-26 18:20:00,18:20,,,6,,4,0,0,0,0,0,0,,,
1678,123,2020-09-26 18:30:00,18:30,,,6,,4,0,0,0,0,0,0,,,
1679,122,2020-09-26 18:40:00,18:40,,,6,,4,0,0,0,0,0,0,,,
1680,121,2020-09-26 18:50:00,18:50,,,6,,4,0,0,0,0,0,0,,,
1681,120,2020-09-26 19:00:00,19:00,,,6,,4,0,0,0,0,0,0,,,
1682,119,2020-09-26 19:10:00,19:10,,,6,,4,0,0,0,0,0,0,,,
1683,118,2020-09-26 19:20:00,19:20,,,6,,4,0,0,0,0,0,0,,,
1684,117,2020-09-26 19:30:00,19:30,,,6,,4,0,0,0,0,0,0,,,
1685,116,2020-09-26 19:40:00,19:40,,,6,,4,0,0,0,0,0,0,,,
1686,115,2020-09-26 19:50:00,19:50,,,6,,4,0,0,0,0,0,0,,,
1687,114,2020-09-26 20:00:00,20:00,,,6,,4,0,0,0,0,0,0,,,
1688,113,2020-09-26 20:10:00,20:10,,,6,,4,0,0,0,0,0,0,,,
1689,112,2020-09-26 20:20:00,20:20,,,6,,4,0,0,0,0,0,0,,,
1690,111,2020-09-26 20:30:00,20:30,,,6,,4,0,0,0,0,0,0,,,
1691,110,2020-09-26 20:40:00,20:40,,,6,,4,0,0,0,0,0,0,,,
1692,109,2020-09-26 20:50:00,20:50,,,6,,4,0,0,0,0,0,0,,,
1693,108,2020-09-26 21:00:00,21:00,,,6,,4,0,0,0,0,0,0,,,
1694,107,2020-09-26 21:10:00,21:10,,,6,,4,0,0,0,0,0,0,,,
1695,106,2020-09-26 21:20:00,21:20,,,6,,4,0,0,0,0,0,0,,,
1696,105,2020-09-26 21:30:00,21:30,,,6,,4,0,0,0,0,0,0,,,
1697,104,2020-09-26 21:40:00,21:40,,,6,,4,0,0,0,0,0,0,,,
1698,103,2020-09-26 21:50:00,21:50,,,6,,4,0,0,0,0,0,0,,,
1699,102,2020-09-26 22:00:00,22:00,,,6,,4,0,0,0,0,0,0,,,
1700,101,2020-09-26 22:10:00,22:10,,,6,,4,0,0,0,0,0,0,,,
1701,100,2020-09-26 22:20:00,22:20,,,6,,4,0,0,0,0,0,0,,,
1702,99,2020-09-26 22:30:00,22:30,,,6,,4,0,0,0,0,0,0,,,
1703,98,2020-09-26 22:40:00,22:40,,,6,,4,0,0,0,0,0,0,,,
1704,97,2020-09-26 22:50:00,22:50,,,6,,4,0,0,0,0,0,0,,,
1705,96,2020-09-26 23:00:00,23:00,,,6,,4,0,0,0,0,0,0,,,
1706,95,2020-09-26 23:10:00,23:10,,,6,,4,0,0,0,0,0,0,,,
1707,94,2020-09-26 23:20:00,23:20,,,6,,4,0,0,0,0,0,0,,,
1708,93,2020-09-26 23:30:00,23:30,,,6,,4,0,0,0,0,0,0,,,
1709,92,2020-09-26 23:40:00,23:40,,,6,,4,0,0,0,0,0,0,,,
1710,91,2020-09-26 23:50:00,23:50,,,6,,4,0,0,0,0,0,0,,,
1711,90,2020-09-27 00:00:00,00:00,,,6,,4,0,0,0,0,0,0,,,
1712,89,2020-09-27 00:10:00,00:10,,,6,,4,0,0,0,0,0,0,,,
1713,88,2020-09-27 00:20:00,00:20,,,6,,4,0,0,0,0,0,0,,,
1714,87,2020-09-27 00:30:00,00:30,,,6,,4,0,0,0,0,0,0,,,
1715,86,2020-09-27 00:40:00,00:40,,,6,,4,0,0,0,0,0,0,,,
1716,85,2020-09-27 00:50:00,00:50,,,6,,4,0,0,0,0,0,0,,,
1717,84,2020-09-27 01:00:00,01:00,,,6,,4,0,0,0,0,0,0,,,
1718,83,2020-09-27 01:10:00,01:10,,,6,,4,0,0,0,0,0,0,,,
1719,82,2020-09-27 01:20:00,01:20,,,6,,4,0,0,0,0,0,0,,,
1720,81,2020-09-27 01:30:00,01:30,,,6,,4,0,0,0,0,0,0,,,
1721,80,2020-09-27 01:40:00,01:40,,,6,,4,0,0,0,0,0,0,,,
1722,79,2020-09-27 01:50:00,01:50,,,6,,4,0,0,0,0,0,0,,,
1723,78,2020-09-27 02:00:00,02:00,,,6,,4,0,0,0,0,0,0,,,
1724,77,2020-09-27 02:10:00,02:10,,,6,,4,0,0,0,0,0,0,,,
1725,76,2020-09-27 02:20:00,02:20,,,6,,4,0,0,0,0,0,0,,,
