,Unnamed: 0,Datum,Tijd,Kraan,Reden,Water,Tijdsduur,Flow,Kan.1,Kan.1 Tijd,Kan.2,Kan.2 Tijd,Kan.3,Kan.3 Tijd,Kan.4,Kan.4 Tijd,Kan.5,Kan.5 Tijd,Kan.6,Kan.6 Tijd,Kan.7,Kan.7 Tijd,Kan.8,Kan.8 Tijd,EC-Lg,EC-Gm,EC-Hg,pH-Lg,pH-Gm,pH-Hg
19,20,2020-10-07 22:04:00,22:04,10,Dry Cont.,5045,00:15:00,2017,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,13,13,13,,,
20,21,2020-10-08 04:30:00,04:30,10,Dry Cont.,5018,00:15:00,2007,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,13,13,13,,,
21,22,2020-10-08 21:14:00,21:14,10,Dry Cont.,5097,00:15:00,2038,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,13,13,13,,,
22,23,2020-10-09 04:45:00,04:45,10,Dry Cont.,5022,00:15:00,2008,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,13,13,13,,,
23,24,2020-10-09 12:12:00,12:12,10,Dry Cont.,4987,00:15:00,1994,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,13,13,13,,,
24,25,2020-10-09 19:49:00,19:49,10,Dry Cont.,4980,00:15:00,1991,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,13,13,13,,,
25,26,2020-10-10 02:35:00,02:35,10,Dry Cont.,5008,00:15:00,2003,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,13,13,13,,,
26,27,2020-10-10 09:55:00,09:55,10,Dry Cont.,5023,00:15:00,2009,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,13,13,13,,,
27,28,2020-10-10 18:12:00,18:12,10,Dry Cont.,5009,00:15:00,2003,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,13,13,13,,,
28,29,2020-10-11 06:53:00,06:53,10,Dry Cont.,5039,00:15:00,2015,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,13,13,13,,,
