,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.
13643,623,2021-02-16 16:10:00,16:10,,,1.3,
13644,622,2021-02-16 16:20:00,16:20,,,1.3,
13645,621,2021-02-16 16:30:00,16:30,,,1.3,
13646,620,2021-02-16 16:40:00,16:40,,,1.3,
13647,619,2021-02-16 16:50:00,16:50,,,1.3,
13648,618,2021-02-16 17:00:00,17:00,,,1.3,
13649,617,2021-02-16 17:10:00,17:10,,,1.3,
13650,616,2021-02-16 17:20:00,17:20,,,1.3,
13651,615,2021-02-16 17:30:00,17:30,,,1.3,
13652,614,2021-02-16 17:40:00,17:40,,,1.3,
13653,613,2021-02-16 17:50:00,17:50,,,1.3,
13654,612,2021-02-16 18:00:00,18:00,,,1.3,
13655,611,2021-02-16 18:10:00,18:10,,,1.3,
13656,610,2021-02-16 18:20:00,18:20,,,1.3,
13657,609,2021-02-16 18:30:00,18:30,,,1.3,
13658,608,2021-02-16 18:40:00,18:40,,,1.3,
13659,607,2021-02-16 18:50:00,18:50,,,1.3,
13660,606,2021-02-16 19:00:00,19:00,,,1.3,
13661,605,2021-02-16 19:10:00,19:10,,,1.3,
13662,604,2021-02-16 19:20:00,19:20,,,1.3,
13663,603,2021-02-16 19:30:00,19:30,,,1.3,
13664,602,2021-02-16 19:40:00,19:40,,,1.3,
13665,601,2021-02-16 19:50:00,19:50,,,1.3,
13666,600,2021-02-16 20:00:00,20:00,,,1.3,
13667,599,2021-02-16 20:10:00,20:10,,,1.3,
13668,598,2021-02-16 20:20:00,20:20,,,1.3,
13669,597,2021-02-16 20:30:00,20:30,,,1.3,
13670,596,2021-02-16 20:40:00,20:40,,,1.3,
13671,595,2021-02-16 20:50:00,20:50,,,1.3,
13672,594,2021-02-16 21:00:00,21:00,,,1.3,
13673,593,2021-02-16 21:10:00,21:10,,,1.3,
13674,592,2021-02-16 21:20:00,21:20,,,1.3,
13675,591,2021-02-16 21:30:00,21:30,,,1.3,
13676,590,2021-02-16 21:40:00,21:40,,,1.3,
13677,589,2021-02-16 21:50:00,21:50,,,1.3,
13678,588,2021-02-16 22:00:00,22:00,,,1.3,
13679,587,2021-02-16 22:10:00,22:10,,,1.3,
13680,586,2021-02-16 22:20:00,22:20,,,1.3,
13681,585,2021-02-16 22:30:00,22:30,,,1.3,
13682,584,2021-02-16 22:40:00,22:40,,,1.3,
13683,583,2021-02-16 22:50:00,22:50,,,1.3,
13684,582,2021-02-16 23:00:00,23:00,,,1.3,
13685,581,2021-02-16 23:10:00,23:10,,,1.3,
13686,580,2021-02-16 23:20:00,23:20,,,1.3,
13687,579,2021-02-16 23:30:00,23:30,,,1.3,
13688,578,2021-02-16 23:40:00,23:40,,,1.3,
13689,577,2021-02-16 23:50:00,23:50,,,1.3,
13690,576,2021-02-17 00:00:00,00:00,,,1.3,
13691,575,2021-02-17 00:10:00,00:10,,,1.3,
13692,574,2021-02-17 00:20:00,00:20,,,1.3,
13693,573,2021-02-17 00:30:00,00:30,,,1.3,
13694,572,2021-02-17 00:40:00,00:40,,,1.3,
13695,571,2021-02-17 00:50:00,00:50,,,1.3,
13696,570,2021-02-17 01:00:00,01:00,,,1.3,
13697,569,2021-02-17 01:10:00,01:10,,,1.3,
13698,568,2021-02-17 01:20:00,01:20,,,1.3,
13699,567,2021-02-17 01:30:00,01:30,,,1.3,
13700,566,2021-02-17 01:40:00,01:40,,,1.3,
13701,565,2021-02-17 01:50:00,01:50,,,1.3,
13702,564,2021-02-17 02:00:00,02:00,,,1.3,
13703,563,2021-02-17 02:10:00,02:10,,,1.3,
13704,562,2021-02-17 02:20:00,02:20,,,1.3,
13705,561,2021-02-17 02:30:00,02:30,,,1.3,
13706,560,2021-02-17 02:40:00,02:40,,,1.3,
13707,559,2021-02-17 02:50:00,02:50,,,1.3,
13708,558,2021-02-17 03:00:00,03:00,,,1.3,
13709,557,2021-02-17 03:10:00,03:10,,,1.3,
13710,556,2021-02-17 03:20:00,03:20,,,1.3,
13711,555,2021-02-17 03:30:00,03:30,,,1.3,
13712,554,2021-02-17 03:40:00,03:40,,,1.3,
13713,553,2021-02-17 03:50:00,03:50,,,1.3,
13714,552,2021-02-17 04:00:00,04:00,,,1.3,
13715,551,2021-02-17 04:10:00,04:10,,,1.3,
13716,550,2021-02-17 04:20:00,04:20,,,1.3,
13717,549,2021-02-17 04:30:00,04:30,,,1.3,
13718,548,2021-02-17 04:40:00,04:40,,,1.3,
13719,547,2021-02-17 04:50:00,04:50,,,1.3,
13720,546,2021-02-17 05:00:00,05:00,,,1.3,
13721,545,2021-02-17 05:10:00,05:10,,,1.3,
13722,544,2021-02-17 05:20:00,05:20,,,1.3,
13723,543,2021-02-17 05:30:00,05:30,,,1.3,
13724,542,2021-02-17 05:40:00,05:40,,,1.3,
13725,541,2021-02-17 05:50:00,05:50,,,1.3,
13726,540,2021-02-17 06:00:00,06:00,,,1.3,
13727,539,2021-02-17 06:10:00,06:10,,,1.3,
13728,538,2021-02-17 06:20:00,06:20,,,1.3,
13729,537,2021-02-17 06:30:00,06:30,,,1.3,
13730,536,2021-02-17 06:40:00,06:40,,,1.3,
13731,535,2021-02-17 06:50:00,06:50,,,1.3,
13732,534,2021-02-17 07:00:00,07:00,,,1.3,
13733,533,2021-02-17 07:10:00,07:10,,,1.3,
13734,532,2021-02-17 07:20:00,07:20,,,1.3,
13735,531,2021-02-17 07:30:00,07:30,,,1.3,
13736,530,2021-02-17 07:40:00,07:40,,,1.3,
13737,529,2021-02-17 07:50:00,07:50,,,1.3,
13738,528,2021-02-17 08:00:00,08:00,,,1.3,
13739,527,2021-02-17 08:10:00,08:10,,,1.3,
13740,526,2021-02-17 08:20:00,08:20,,,1.3,
13741,525,2021-02-17 08:30:00,08:30,,,1.3,
13742,524,2021-02-17 08:40:00,08:40,,,1.3,
13743,523,2021-02-17 08:50:00,08:50,,,1.3,
13744,522,2021-02-17 09:00:00,09:00,,,1.3,
13745,521,2021-02-17 09:10:00,09:10,,,1.3,
13746,520,2021-02-17 09:20:00,09:20,,,1.3,
13747,519,2021-02-17 09:30:00,09:30,,,1.3,
13748,518,2021-02-17 09:40:00,09:40,,,1.3,
13749,517,2021-02-17 09:50:00,09:50,,,1.3,
13750,516,2021-02-17 10:00:00,10:00,,,1.3,
13751,515,2021-02-17 10:10:00,10:10,,,1.3,
13752,514,2021-02-17 10:20:00,10:20,,,1.3,
13753,513,2021-02-17 10:30:00,10:30,,,1.3,
13754,512,2021-02-17 10:40:00,10:40,,,1.3,
13755,511,2021-02-17 10:50:00,10:50,,,1.3,
13756,510,2021-02-17 11:00:00,11:00,,,1.3,
13757,509,2021-02-17 11:10:00,11:10,,,1.3,
13758,508,2021-02-17 11:20:00,11:20,,,1.3,
13759,507,2021-02-17 11:30:00,11:30,,,1.3,
13760,506,2021-02-17 11:40:00,11:40,,,1.3,
13761,505,2021-02-17 11:50:00,11:50,,,1.3,
13762,504,2021-02-17 12:00:00,12:00,,,1.3,
13763,503,2021-02-17 12:10:00,12:10,,,1.3,
13764,502,2021-02-17 12:20:00,12:20,,,1.3,
13765,501,2021-02-17 12:30:00,12:30,,,1.3,
13766,500,2021-02-17 12:40:00,12:40,,,1.3,
13767,499,2021-02-17 12:50:00,12:50,,,1.3,
13768,498,2021-02-17 13:00:00,13:00,,,1.3,
13769,497,2021-02-17 13:10:00,13:10,,,1.3,
13770,496,2021-02-17 13:20:00,13:20,,,1.3,
13771,495,2021-02-17 13:30:00,13:30,,,1.3,
13772,494,2021-02-17 13:40:00,13:40,,,1.3,
13773,493,2021-02-17 13:50:00,13:50,,,1.3,
13774,492,2021-02-17 14:00:00,14:00,,,1.3,
13775,491,2021-02-17 14:10:00,14:10,,,1.3,
13776,490,2021-02-17 14:20:00,14:20,,,1.3,
13777,489,2021-02-17 14:30:00,14:30,,,1.3,
13778,488,2021-02-17 14:40:00,14:40,,,1.3,
13779,487,2021-02-17 14:50:00,14:50,,,1.3,
13780,486,2021-02-17 15:00:00,15:00,,,1.3,
13781,485,2021-02-17 15:10:00,15:10,,,1.3,
13782,484,2021-02-17 15:20:00,15:20,,,1.3,
13783,483,2021-02-17 15:30:00,15:30,,,1.3,
13784,482,2021-02-17 15:40:00,15:40,,,1.3,
13785,481,2021-02-17 15:50:00,15:50,,,1.3,
13786,480,2021-02-17 16:00:00,16:00,,,1.3,
13787,479,2021-02-17 16:10:00,16:10,,,1.3,
13788,478,2021-02-17 16:20:00,16:20,,,1.3,
13789,477,2021-02-17 16:30:00,16:30,,,1.3,
13790,476,2021-02-17 16:40:00,16:40,,,1.3,
13791,475,2021-02-17 16:50:00,16:50,,,1.3,
13792,474,2021-02-17 17:00:00,17:00,,,1.3,
13793,473,2021-02-17 17:10:00,17:10,,,1.3,
13794,472,2021-02-17 17:20:00,17:20,,,1.3,
13795,471,2021-02-17 17:30:00,17:30,,,1.3,
13796,470,2021-02-17 17:40:00,17:40,,,1.3,
13797,469,2021-02-17 17:50:00,17:50,,,1.3,
13798,468,2021-02-17 18:00:00,18:00,,,1.3,
13799,467,2021-02-17 18:10:00,18:10,,,1.3,
13800,466,2021-02-17 18:20:00,18:20,,,1.3,
13801,465,2021-02-17 18:30:00,18:30,,,1.3,
13802,464,2021-02-17 18:40:00,18:40,,,1.3,
13803,463,2021-02-17 18:50:00,18:50,,,1.3,
13804,462,2021-02-17 19:00:00,19:00,,,1.3,
13805,461,2021-02-17 19:10:00,19:10,,,1.3,
13806,460,2021-02-17 19:20:00,19:20,,,1.3,
13807,459,2021-02-17 19:30:00,19:30,,,1.3,
13808,458,2021-02-17 19:40:00,19:40,,,1.3,
13809,457,2021-02-17 19:50:00,19:50,,,1.3,
13810,456,2021-02-17 20:00:00,20:00,,,1.3,
13811,455,2021-02-17 20:10:00,20:10,,,1.3,
13812,454,2021-02-17 20:20:00,20:20,,,1.3,
13813,453,2021-02-17 20:30:00,20:30,,,1.3,
13814,452,2021-02-17 20:40:00,20:40,,,1.3,
13815,451,2021-02-17 20:50:00,20:50,,,1.3,
13816,450,2021-02-17 21:00:00,21:00,,,1.3,
13817,449,2021-02-17 21:10:00,21:10,,,1.3,
13818,448,2021-02-17 21:20:00,21:20,,,1.3,
13819,447,2021-02-17 21:30:00,21:30,,,1.3,
13820,446,2021-02-17 21:40:00,21:40,,,1.3,
13821,445,2021-02-17 21:50:00,21:50,,,1.3,
13822,444,2021-02-17 22:00:00,22:00,,,1.3,
13823,443,2021-02-17 22:10:00,22:10,,,1.3,
13824,442,2021-02-17 22:20:00,22:20,,,1.3,
13825,441,2021-02-17 22:30:00,22:30,,,1.3,
13826,440,2021-02-17 22:40:00,22:40,,,1.3,
13827,439,2021-02-17 22:50:00,22:50,,,1.3,
13828,438,2021-02-17 23:00:00,23:00,,,1.3,
13829,437,2021-02-17 23:10:00,23:10,,,1.3,
13830,436,2021-02-17 23:20:00,23:20,,,1.3,
13831,435,2021-02-17 23:30:00,23:30,,,1.3,
13832,434,2021-02-17 23:40:00,23:40,,,1.3,
13833,433,2021-02-17 23:50:00,23:50,,,1.3,
13834,432,2021-02-18 00:00:00,00:00,,,1.3,
13835,431,2021-02-18 00:10:00,00:10,,,1.3,
13836,430,2021-02-18 00:20:00,00:20,,,1.3,
13837,429,2021-02-18 00:30:00,00:30,,,1.3,
13838,428,2021-02-18 00:40:00,00:40,,,1.3,
13839,427,2021-02-18 00:50:00,00:50,,,1.3,
13840,426,2021-02-18 01:00:00,01:00,,,1.3,
13841,425,2021-02-18 01:10:00,01:10,,,1.3,
13842,424,2021-02-18 01:20:00,01:20,,,1.3,
13843,423,2021-02-18 01:30:00,01:30,,,1.3,
13844,422,2021-02-18 01:40:00,01:40,,,1.3,
13845,421,2021-02-18 01:50:00,01:50,,,1.3,
13846,420,2021-02-18 02:00:00,02:00,,,1.3,
13847,419,2021-02-18 02:10:00,02:10,,,1.3,
13848,418,2021-02-18 02:20:00,02:20,,,1.3,
13849,417,2021-02-18 02:30:00,02:30,,,1.3,
13850,416,2021-02-18 02:40:00,02:40,,,1.3,
13851,415,2021-02-18 02:50:00,02:50,,,1.3,
13852,414,2021-02-18 03:00:00,03:00,,,1.3,
13853,413,2021-02-18 03:10:00,03:10,,,1.3,
13854,412,2021-02-18 03:20:00,03:20,,,1.3,
13855,411,2021-02-18 03:30:00,03:30,,,1.3,
13856,410,2021-02-18 03:40:00,03:40,,,1.3,
13857,409,2021-02-18 03:50:00,03:50,,,1.3,
13858,408,2021-02-18 04:00:00,04:00,,,1.3,
13859,407,2021-02-18 04:10:00,04:10,,,1.3,
13860,406,2021-02-18 04:20:00,04:20,,,1.3,
13861,405,2021-02-18 04:30:00,04:30,,,1.3,
13862,404,2021-02-18 04:40:00,04:40,,,1.3,
13863,403,2021-02-18 04:50:00,04:50,,,1.3,
13864,402,2021-02-18 05:00:00,05:00,,,1.3,
13865,401,2021-02-18 05:10:00,05:10,,,1.3,
