Sample Text;#number;Name;Date;Time;Code;Type;Project;O2 (mg/l);NO3 (mg/l);DOC (mg/l);TOC (mg/l);T (C);pH;eH (mV);EC (uS/cm);Alk (pulses/ 5 ml);Abs. Volume;Total abs. Volume;ICP_Li (ug/l);ICP_Be (ug/l);ICP_B (ug/l);ICP_Na (ug/l);ICP_Mg26 (ug/l);ICP_Al (ug/l);ICP_Si (ug/l);ICP_P (ug/l);ICP_S (ug/l);ICP_K (ug/l);ICP_Ca (ug/l);ICP_Ti (ug/l);ICP_V (ug/l);ICP_Cr (ug/l);ICP_Mn (ug/l);ICP_Fe56 (ug/l);ICP_Fe57 (ug/l);ICP_Co (ug/l);ICP_Ni (ug/l);ICP_Cu (ug/l);ICP_Zn (ug/l);ICP_As (ug/l);ICP_Se (ug/l);ICP_Sr (ug/l);ICP_Mo (ug/l);ICP_Ag (ug/l);ICP_Cd (ug/l);ICP_Sb (ug/l);ICP_Ba (ug/l);ICP_Pb (ug/l);IC_Na (mg/l);IC_NH4 (mg/l);IC_K (mg/l);IC_Mg (mg/l);IC_Ca (mg/l);IC_F (mg/l);IC_Ac (mg/l);IC_Cl (mg/l);IC_NO2 (mg/l);IC_Br (mg/l);IC_NO3 (mg/l);IC_PO4 (mg/l);IC_SO4 (mg/l);ICPOES_PO4 (mg/l);"Compound 1:  Atrazine
";"Compound 2:  Atrazine-d5
";"Compound 3:  Azoystrobin
";"Compound 4:  Bentazone
";"Compound 5:  Bentazone-d7
";"Compound 6:  Boscalid
";"Compound 7:  Chlordiazon
";"Compound 8:  Chlordiazon-Desphenyl
";"Compound 9:  Chlordiazon-Methyl-Desphenyl
";"Compound 10:  Cycloydim
";"Compound 11:  Fluopicolide
";"Compound 12:  Fluopyram
";"Compound 13:  Flutolanil
";"Compound 14:  Glyphosate
";"Compound 15:  Imidacloprid
";"Compound 16:  Imidacloprid-d4
";"Compound 17:  Metamitron
";"Compound 18:  Methoyfenozide
";"Compound 19:  Pencycuron
";"Compound 20:  Pendimethalin
";"Compound 21:  Prochloraz
";"Compound 22:  Pyraclostrobin
";"Compound 23:  Tebuconazole
";"Compound 24:  Trifloystrobin
";"Compound 25:  Trifloystrobin-d6
";"Compound 26:  Clarithromycin
";DA_N-NH4;DA-P-PO4;DA-Alk
PZ1-GW;10;PZ1;25-2-2019;12:53;GW;Sample;PPT1 - GW;0.05;0;9.87;7.132;12.7;7.3;-89;1996;199;-99;-99;19.18;-0.04;203.12;131309;33365.08;-18.58;22168.44;46.81;;8534.87;222470.9;2.31;0.01;0.64;936.53;14267.16;15268.88;-0.32;0.38;-26.36;-194.38;-0.02;4;778.77;2.7;-0.02;0;-0.03;56.81;0.29;135.82;10.75;7.54;37.7;273.87;0.142873754;#N/A;450.0105832;0.008424906;1.914042423;0.007804403;0;6.720652452;0.91;0.0037;0.6574;0.0065;0.0036;0.9272;0.0052;0.0082;0.1038;0.0043;0.0127;0.0067;0.0109;0.0167;;0.0055;0.7556;0.0003;0.01;0.0049;0.0178;0.0099;0.0033;0.0145;0.0035;0.6442;0.4797;0.8382;0.276;123.788
PZ1-DW;11;PZ1;25-2-2019;08:46;DW;Sample;PPT1;4.5;4.9;17.1;;7.6;7.48;158.8;1870;180;-99;-99;17.32;-0.04;255.84;215203;37142.81;-17.35;5810.96;726.46;;34141.46;158016.8;2.22;7.19;2.36;416.11;97.98;258.1;-0.03;0.04;-26.13;-194.87;7.38;5.06;697.09;5.71;-0.22;-0.13;0.6;7.55;4.23;221.04;0;35.77;39.45;208.53;0.398036948;#N/A;357.1457149;0.008424906;0.912563634;5.401227856;10.42647026;107.8128789;;0.0009;0.2389;0.0068;0.0267;0.4013;0.0051;0.1773;4.7863;0.5529;0.0073;;0.1046;0.0071;;0.0243;0.3256;0.0106;0.0053;;0.0518;0.002;0.0022;0.0173;0.0025;0.2366;;0.4186;4.176;388.028
PZ1-DW+;12;PZ1;25-2-2019;12:09;DW+;Sample;PPT1;8.2;45.1;13.7;;9.6;7.86;88.9;2227;186;-99;-99;17.62;-0.04;264.7;290244.4;37501.64;-5.9;5763.36;1365.06;;36063.77;160356.8;2.49;7.3;2.28;412.98;87.07;289.89;-0.03;0.81;-24.4;-193.15;8.09;4.88;701.73;5.87;-0.2;-0.05;0.61;7.72;1.81;218.7;1.51;26.41;30.39;164.02;0.381422327;#N/A;436.594018;0.008424906;9.594181369;45.28669118;17.33553804;108.5704952;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6915;7.465;387.614
PZ1-INF1;13;PZ1;25-2-2019;15:20;INF1;Sample;PPT1;8.2;45.7;17.7;;12.2;7.9;182.2;2182;180;-99;-99;16.82;-0.05;261.38;287627.9;37383.11;-8.64;5727.09;1351.19;;34930.65;159298.6;2.77;6.96;1.86;407.92;79.76;250.71;-0.11;0.12;-25.89;-192.47;7.8;4.99;708.83;5.86;-0.19;-0.09;0.58;7.95;0.71;293.41;2.48;36.92;40.25;206.86;0.381422327;#N/A;430.3195378;0.008424906;9.415659735;44.37689181;18.90376205;106.7282038;;4.1;0.2;0.1;5.6;0.3;0;5.6;5.7;0.7;0.9;1;2.3;0;;5.3;0.2;5;0.8;0;0.1;0;0;0.4;0;0.2;18.2;0.2299;7.182;394.597
PZ1-INF2;14;PZ1;25-2-2019;16:15;INF2;Sample;PPT1;7.9;45.7;19.8;21.64;11.8;8;200;2175;183;-99;-99;17.39;-0.05;258.51;275671.3;36208.27;-7.09;5546.76;1320.55;;34220.48;156022.2;2.7;6.97;1.72;395.27;68.68;252.51;-0.11;0.11;-25.29;-194.35;7.65;6.14;683.57;5.62;-0.18;-0.15;0.56;7.25;1.12;296.57;2;36.1;40.74;211.27;0.381422327;#N/A;433.5901748;0.008424906;9.475179926;44.92292701;17.55996921;107.8574485;21.22;4.5;0.2;0.2;5.6;0.3;0;5.6;5.5;0.7;1;1.4;2.9;0.1;;5.3;0.2;5;0.9;0;0.1;0;0;0.7;0;0.2;20.3;0.2355;7.233;386.232
PZ1-INF3;15;PZ1;25-2-2019;18:55;INF3;Sample;PPT1;8.8;46.2;19.8;;10.8;8;160;2170;184;-99;-99;17.13;-0.05;267.93;287201;37076.01;-2.1;5603.6;1347.2;;34695.02;159476.3;2.59;7.2;1.81;402.02;70.33;244.12;-0.04;-0.61;-20.56;-188.66;7.47;7.47;706.22;5.8;-0.17;-0.16;0.57;7.57;1.33;301.28;2.03;37.14;41.55;210.63;0.381422327;#N/A;436.3460076;0.008424906;9.594181369;45.34729837;19.01552857;108.9418245;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2449;7.339;386.992
PZ1-INF4;16;PZ1;25-2-2019;20:30;INF4;Sample;PPT1;9.6;45.3;19.6;;8.4;7.98;147.8;2158;178;-99;-99;16.96;-0.04;262.88;287215;37197.27;-12.01;5601.52;1326.77;;34448.52;158752.4;2.39;6.99;2.6;399.52;73.46;278.64;-0.17;-0.35;-24.94;-193.08;7.75;4.57;690.97;5.7;-0.16;-0.09;0.57;7.38;0.18;296.28;2.58;43.28;40.72;210.26;0.381422327;#N/A;429.8417696;0.008424906;9.356126564;44.31619242;16.3239512;106.2526392;21.2;;;;;;;;;;;;;;;;;;;;;;;;;;;0.285;7.236;383.803
PZ1-SP1;17;PZ1;26-2-2019;16:33;SP1;Sample;PPT1;0.11;44.8;12.2;20.39;11.6;7.4;57.8;2121;190;30;30;16.97;-0.04;284.52;315181.6;39514.26;-6.01;8900.29;442.33;;37321.2;170057.4;2.86;10.33;3.25;356.56;23.16;228.59;1.04;18.25;-26;-194.61;27.26;4.8;698.94;15.97;-0.21;-0.09;1.72;11.62;0.63;297.82;1.13;35.89;39.72;202.52;0.364751099;#N/A;435.3723137;0.008424906;9.534687137;44.43758544;5.828740424;109.877425;5.98;4.565;0.2629;1.8788;6.157;0.3418;0.1976;5.8272;5.4978;0.7051;2.2822;2.2579;4.5571;1.0931;;4.1128;0.2768;4.862;1.4807;0.0353;0.0479;0.9055;;1.772;0.0021;0.2407;;0.3621;2.182;385.47
PZ1-SP2;18;PZ1;27-2-2019;15:38;SP2;Sample;PPT1;0.5;43.6;15.7;;12.3;7.7;1798.4;2112;190;30;60;14.11;-0.05;253.53;253715.9;31559.09;-10.23;8777.14;410.51;;29670.03;133541.2;2.51;6.67;1.16;264.93;20.78;184.61;0.82;13.5;-26.98;-195.78;24.37;8.95;556.03;13.85;-0.19;-0.16;1.2;10.72;3.28;303.9;2.77;37.48;40.8;203.35;0.348023261;#N/A;428.4451655;0.008424906;9.296580413;42.06626413;6.059890953;107.6643103;;4.0837;0.2639;1.1882;6.0625;0.3424;0.1071;5.606;5.2011;0.715;2.2161;1.7626;3.6404;0.5824;;3.4013;0.2777;4.6699;1.3481;0.0065;0.0599;0.2122;;1.3093;;0.2449;;0.2721;2.27;377.495
PZ1-SP3;19;PZ1;28-2-2019;15:45;SP3;Sample;PPT1;0.07;42.9;10.9;19.98;10.9;7.4;238.5;2078;196;30;90;15.87;-0.04;254.18;291667.7;36217.77;-4.19;9884;428.32;;34488.69;156930.1;2.58;5.24;1.21;293.57;53.53;254.7;1;14.68;-27.24;-196.29;24.44;2.91;638.9;14.14;-0.13;-0.21;0.98;14.71;0.87;294.8;2.88;35.84;39.69;202.74;0.331238816;#N/A;432.3223929;0.008424906;9.356126564;42.00534578;6.290908426;108.4516627;6.69;3.9851;0.2636;0.7467;5.7623;0.3367;0.0876;5.3824;4.9747;0.6817;2.2692;1.6808;3.4944;0.4384;;3.0753;0.2781;4.5502;1.1884;0.0051;0.0537;0.1049;0.0078;0.9954;;0.2496;;0.2586;2.274;380.73
