                 sim	               state	              dist_x	                time	                step	                 Day	        IC_Cl_(mg/l)	             NO3_0.0	             NO3_0.1	            NO3_0.25	             NO3_0.5	             NO3_1.0	
                   1	              transp	             2.49373	                   0	                   0	  0.000000000000e+00	  4.407580001093e+02	  1.019919393467e-01	  1.019919393467e-01	  1.019919393467e-01	  1.019919393467e-01	  1.019919393467e-01	
                   1	              transp	             2.49373	            0.357378	                   1	  3.573782160000e-01	  4.407580001093e+02	  1.019919393467e-01	  1.018401736013e-01	  1.016135423833e-01	  1.012365020599e-01	  1.004840653068e-01	
                   1	              transp	             2.49373	            0.714756	                   2	  7.147564320000e-01	  4.407580001093e+02	  1.019919393467e-01	  1.016886336055e-01	  1.012365487992e-01	  1.004866581900e-01	  9.899847621604e-02	
                   1	              transp	             2.49373	             1.07213	                   3	  1.072134648000e+00	  4.407580001093e+02	  1.019919393467e-01	  1.015373191039e-01	  1.008609538885e-01	  9.974236830331e-02	  9.753485055736e-02	
                   1	              transp	             2.49373	             1.42951	                   4	  1.429512864000e+00	  4.407580001093e+02	  1.019919393467e-01	  1.013862297610e-01	  1.004867524621e-01	  9.900359126225e-02	  9.609286361626e-02	
                   1	              transp	             2.49373	             1.78689	                   5	  1.786891080000e+00	  4.407580001093e+02	  1.019919393467e-01	  1.012353652417e-01	  1.001139393500e-01	  9.827028623399e-02	  9.467219547892e-02	
                   1	              transp	             2.49373	             2.14427	                   6	  2.144269296000e+00	  4.407580001093e+02	  1.019919393467e-01	  1.010847252115e-01	  9.974250940153e-02	  9.754241268815e-02	  9.327253096121e-02	
                   1	              transp	             2.49373	             2.50165	                   7	  2.501647512000e+00	  4.407580001093e+02	  1.019919393467e-01	  1.009343093364e-01	  9.937245748497e-02	  9.681993039452e-02	  9.189355953878e-02	
                   2	              transp	             2.49373	             2.50165	                   0	  2.501647512000e+00	  4.407580001093e+02	  1.019919393467e-01	  1.009343093364e-01	  9.937245748497e-02	  9.681993039452e-02	  9.189355953878e-02	
                   2	              transp	             2.49373	             35.1683	                   1	  3.516831417867e+01	  4.407580001093e+02	  1.019919393467e-01	  8.808988402445e-02	  7.074922909209e-02	  4.907675731109e-02	  2.355953704535e-02	
                   3	              transp	             2.49373	             35.1683	                   0	  3.516831417867e+01	  4.407580001093e+02	  1.019919393467e-01	  8.808988402445e-02	  7.074922909209e-02	  4.907675731109e-02	  2.355953704535e-02	
                   3	              transp	             2.49373	             35.5257	                   1	  3.552569239467e+01	  4.407580001093e+02	  1.019919393467e-01	  8.795880470491e-02	  7.048674434033e-02	  4.871325299323e-02	  2.321122519002e-02	
                   3	              transp	             2.49373	             35.8831	                   2	  3.588307061067e+01	  4.407580001093e+02	  1.019919393467e-01	  8.782792043375e-02	  7.022523342596e-02	  4.835244109836e-02	  2.286806289039e-02	
                   3	              transp	             2.49373	             36.2404	                   3	  3.624044882667e+01	  4.407580001093e+02	  1.019919393467e-01	  8.769723092071e-02	  6.996469273598e-02	  4.799430168408e-02	  2.252997401377e-02	
                   3	              transp	             2.49373	             36.5978	                   4	  3.659782704267e+01	  4.407580001093e+02	  1.019919393467e-01	  8.756673587600e-02	  6.970511867078e-02	  4.763881495573e-02	  2.219688355302e-02	
                   3	              transp	             2.49373	             36.9552	                   5	  3.695520525867e+01	  4.407580001093e+02	  1.019919393467e-01	  8.743643501024e-02	  6.944650764412e-02	  4.728596126526e-02	  2.186871760994e-02	
                   3	              transp	             2.49373	             37.3126	                   6	  3.731258347467e+01	  4.407580001093e+02	  1.019919393467e-01	  8.730632803450e-02	  6.918885608305e-02	  4.693572111013e-02	  2.154540337886e-02	
                   3	              transp	             2.49373	               37.67	                   7	  3.766996169067e+01	  4.407580001093e+02	  1.019919393467e-01	  8.717641466026e-02	  6.893216042789e-02	  4.658807513228e-02	  2.122686913048e-02	
                   3	              transp	             2.49373	             38.0273	                   8	  3.802733990667e+01	  4.407580001093e+02	  1.019919393467e-01	  8.704669459944e-02	  6.867641713216e-02	  4.624300411702e-02	  2.091304419599e-02	
                   3	              transp	             2.49373	             38.3847	                   9	  3.838471812267e+01	  4.407580001093e+02	  1.019919393467e-01	  8.691716756439e-02	  6.842162266253e-02	  4.590048899198e-02	  2.060385895136e-02	
                   3	              transp	             2.49373	             38.7421	                  10	  3.874209633867e+01	  4.407580001094e+02	  1.019919393467e-01	  8.678783326788e-02	  6.816777349880e-02	  4.556051082605e-02	  2.029924480192e-02	
                   3	              transp	             2.49373	             39.0995	                  11	  3.909947455467e+01	  4.407580001094e+02	  1.019919393468e-01	  8.665869142315e-02	  6.791486613384e-02	  4.522305082839e-02	  1.999913416710e-02	
                   3	              transp	             2.49373	             39.4569	                  12	  3.945685277067e+01	  4.407580001093e+02	  1.019919393473e-01	  8.652974174419e-02	  6.766289707379e-02	  4.488809034746e-02	  1.970346046557e-02	
                   3	              transp	             2.49373	             39.8142	                  13	  3.981423098667e+01	  4.407580001092e+02	  1.019919393512e-01	  8.640098394752e-02	  6.741186283939e-02	  4.455561087099e-02	  1.941215810082e-02	
                   3	              transp	             2.49373	             40.1716	                  14	  4.017160920267e+01	  4.407580001085e+02	  1.019919393752e-01	  8.627241776177e-02	  6.716175997340e-02	  4.422559402979e-02	  1.912516244871e-02	
                   3	              transp	             2.49373	              40.529	                  15	  4.052898741867e+01	  4.407580001048e+02	  1.019919395001e-01	  8.614404296994e-02	  6.691258507324e-02	  4.389802161815e-02	  1.884240985226e-02	
                   3	              transp	             2.49373	             40.8864	                  16	  4.088636563467e+01	  4.407580000884e+02	  1.019919400587e-01	  8.601585956798e-02	  6.666433491354e-02	  4.357287567250e-02	  1.856383764109e-02	
                   3	              transp	             2.49373	             41.2437	                  17	  4.124374385067e+01	  4.407580000240e+02	  1.019919422509e-01	  8.588786828083e-02	  6.641700684367e-02	  4.325013872779e-02	  1.828938422505e-02	
                   3	              transp	             2.49373	             41.6011	                  18	  4.160112206667e+01	  4.407579997991e+02	  1.019919499079e-01	  8.576007204217e-02	  6.617059992445e-02	  4.292979454855e-02	  1.801898938321e-02	
                   3	              transp	             2.49373	             41.9585	                  19	  4.195850028267e+01	  4.407579990907e+02	  1.019919740234e-01	  8.563247978542e-02	  6.592511783164e-02	  4.261182998859e-02	  1.775259501212e-02	
                   3	              transp	             2.49373	             42.3159	                  20	  4.231587849867e+01	  4.407579970564e+02	  1.019920432732e-01	  8.550511522779e-02	  6.568057556290e-02	  4.229623926580e-02	  1.749014684519e-02	
                   3	              transp	             2.49373	             42.6733	                  21	  4.267325671467e+01	  4.407579916786e+02	  1.019922263396e-01	  8.537803547145e-02	  6.543701359591e-02	  4.198303294035e-02	  1.723159804118e-02	
                   3	              transp	             2.49373	             43.0306	                  22	  4.303063493067e+01	  4.407579784809e+02	  1.019926756004e-01	  8.525136732965e-02	  6.519452545036e-02	  4.167225530331e-02	  1.697691607830e-02	
                   3	              transp	             2.49373	              43.388	                  23	  4.338801314667e+01	  4.407579481937e+02	  1.019937066066e-01	  8.512537326881e-02	  6.495330756462e-02	  4.136401568607e-02	  1.672609506739e-02	
                   3	              transp	             2.49373	             43.7454	                  24	  4.374539136267e+01	  4.407578827796e+02	  1.019959333933e-01	  8.500056344314e-02	  6.471374378079e-02	  4.105854124832e-02	  1.647917637140e-02	
                   3	              transp	             2.49373	             44.1028	                  25	  4.410276957867e+01	  4.407577490645e+02	  1.020004853733e-01	  8.487787492430e-02	  6.447654012709e-02	  4.075626085390e-02	  1.623628122825e-02	
                   3	              transp	             2.49373	             44.4601	                  26	  4.446014779467e+01	  4.407574890813e+02	  1.020093362644e-01	  8.475894302551e-02	  6.424292836708e-02	  4.045793135265e-02	  1.599765984500e-02	
                   3	              transp	             2.49373	             44.8175	                  27	  4.481752601067e+01	  4.407570061562e+02	  1.020257771724e-01	  8.464649094016e-02	  6.401495775821e-02	  4.016481827003e-02	  1.576376197110e-02	
                   3	              transp	             2.49373	             45.1749	                  28	  4.517490422667e+01	  4.407561457889e+02	  1.020550678568e-01	  8.454486553952e-02	  6.379589582020e-02	  3.987894404493e-02	  1.553533495127e-02	
                   3	              transp	             2.49373	             45.5323	                  29	  4.553228244267e+01	  4.407546705117e+02	  1.021052927704e-01	  8.446074118581e-02	  6.359075468345e-02	  3.960341481252e-02	  1.531355522826e-02	
                   4	              transp	             2.49373	             45.5323	                   0	  4.553228244267e+01	  4.407546705117e+02	  1.021052927704e-01	  8.446074118581e-02	  6.359075468345e-02	  3.960341481252e-02	  1.531355522826e-02	
                   4	              transp	             2.49373	             59.1989	                   1	  5.919894910933e+01	  4.407546703363e+02	  1.021052987329e-01	  7.978551595545e-02	  5.516533780666e-02	  2.980418086143e-02	  8.664961188892e-03	
                   5	              transp	             2.49373	             59.1989	                   0	  5.919894910933e+01	  4.407546703363e+02	  1.021052987329e-01	  7.978551595545e-02	  5.516533780666e-02	  2.980418086143e-02	  8.664961188892e-03	
                   5	              transp	             2.49373	             59.5563	                   1	  5.955632732533e+01	  4.407522279066e+02	  1.021884497656e-01	  7.973192506585e-02	  5.500589301332e-02	  2.960807891276e-02	  8.544237913173e-03	
                   5	              transp	             2.49373	             59.9137	                   2	  5.991370554133e+01	  4.407483131260e+02	  1.023217261112e-01	  7.971760522285e-02	  5.487419136039e-02	  2.942820225838e-02	  8.429749003544e-03	
                   5	              transp	             2.49373	             60.2711	                   3	  6.027108375733e+01	  4.407422227792e+02	  1.025290683589e-01	  7.976119497814e-02	  5.478307472408e-02	  2.927149071554e-02	  8.323578639215e-03	
                   5	              transp	             2.49373	             60.6285	                   4	  6.062846197333e+01	  4.407330053319e+02	  1.028428709900e-01	  7.988791387491e-02	  5.474992959712e-02	  2.914737012949e-02	  8.228609823753e-03	
                   5	              transp	             2.49373	             60.9858	                   5	  6.098584018933e+01	  4.407194064488e+02	  1.033058370319e-01	  8.013101633867e-02	  5.479770793421e-02	  2.906833664143e-02	  8.148742481723e-03	
                   5	              transp	             2.49373	             61.3432	                   6	  6.134321840533e+01	  4.406998123488e+02	  1.039729067295e-01	  8.053331231355e-02	  5.495600658304e-02	  2.905058927832e-02	  8.089143476195e-03	
                   5	              transp	             2.49373	             61.7006	                   7	  6.170059662133e+01	  4.406721933313e+02	  1.049131800528e-01	  8.114869524720e-02	  5.526216795499e-02	  2.911469450259e-02	  8.056526327551e-03	
                   5	              transp	             2.49373	              62.058	                   8	  6.205797483733e+01	  4.406340501313e+02	  1.062117430132e-01	  8.204360993010e-02	  5.576235811452e-02	  2.928626129650e-02	  8.059454892330e-03	
                   5	              transp	             2.49373	             62.4154	                   9	  6.241535305333e+01	  4.405823658758e+02	  1.079713032891e-01	  8.329838844107e-02	  5.651257436985e-02	  2.959660147000e-02	  8.108662170673e-03	
                   5	              transp	             2.49373	             62.7727	                  10	  6.277273126933e+01	  4.405135663767e+02	  1.103135420234e-01	  8.500838234942e-02	  5.757953279280e-02	  3.008334690279e-02	  8.217372351607e-03	
                   5	              transp	             2.49373	             63.1301	                  11	  6.313010948533e+01	  4.404234912889e+02	  1.133800957327e-01	  8.728482340466e-02	  5.904138704692e-02	  3.079099365506e-02	  8.401611503228e-03	
                   5	              transp	             2.49373	             63.4875	                  12	  6.348748770133e+01	  4.403073783009e+02	  1.173330945301e-01	  9.025535291708e-02	  6.098823344859e-02	  3.177134254421e-02	  8.680490291676e-03	
                   5	              transp	             2.49373	             63.8449	                  13	  6.384486591733e+01	  4.401598620402e+02	  1.223551993806e-01	  9.406417133905e-02	  6.352236314495e-02	  3.308380703553e-02	  9.076441040089e-03	
                   5	              transp	             2.49373	             64.2022	                  14	  6.420224413333e+01	  4.399749888015e+02	  1.286491006979e-01	  9.887177344001e-02	  6.675823033725e-02	  3.479556217238e-02	  9.615391501036e-03	
                   5	              transp	             2.49373	             64.5596	                  15	  6.455962234933e+01	  4.397462475766e+02	  1.364364619505e-01	  1.048542500464e-01	  7.082211515866e-02	  3.698151269260e-02	  1.032685898763e-02	
                   5	              transp	             2.49373	              64.917	                  16	  6.491700056533e+01	  4.394666172253e+02	  1.459563137515e-01	  1.122021536648e-01	  7.585147059963e-02	  3.972406424183e-02	  1.124395094694e-02	
                   5	              transp	             2.49373	             65.2744	                  17	  6.527437878133e+01	  4.391286290095e+02	  1.574629249154e-01	  1.211189415170e-01	  8.199395418300e-02	  4.311268840055e-02	  1.240326151411e-02	
                   5	              transp	             2.49373	             65.6318	                  18	  6.563175699733e+01	  4.387244431506e+02	  1.712231961234e-01	  1.318190247697e-01	  8.940615634529e-02	  4.724327971170e-02	  1.384465781900e-02	
                   5	              transp	             2.49373	             65.9891	                  19	  6.598913521333e+01	  4.382459375850e+02	  1.875136382816e-01	  1.445254663379e-01	  9.825204813092e-02	  5.221731061553e-02	  1.561095453393e-02	
                   5	              transp	             2.49373	             66.3465	                  20	  6.634651342933e+01	  4.376848067093e+02	  2.066170107926e-01	  1.594673810480e-01	  1.087011803711e-01	  5.814079774194e-02	  1.774748003004e-02	
                   5	              transp	             2.49373	             66.7039	                  21	  6.670389164533e+01	  4.370326676282e+02	  2.288187044298e-01	  1.768771007801e-01	  1.209266746067e-01	  6.512309998526e-02	  2.030154223605e-02	
                   5	              transp	             2.49373	             67.0613	                  22	  6.706126986133e+01	  4.362811712483e+02	  2.544029591902e-01	  1.969871732807e-01	  1.351030523391e-01	  7.327557485106e-02	  2.332180658616e-02	
                   5	              transp	             2.49373	             67.4186	                  23	  6.741864807733e+01	  4.354221155069e+02	  2.836490095031e-01	  2.200272665937e-01	  1.514039535826e-01	  8.271012445848e-02	  2.685760207921e-02	
                   6	              transp	             2.49373	             67.4186	                   0	  6.741864807733e+01	  4.354221155069e+02	  2.836490095031e-01	  2.200272665937e-01	  1.514039535826e-01	  8.271012445848e-02	  2.685760207921e-02	
                   6	              transp	             2.49373	             82.0353	                   1	  8.203531474400e+01	  4.354220610189e+02	  2.836508645155e-01	  2.070282007291e-01	  1.300534311320e-01	  6.102742810686e-02	  1.460733940058e-02	
